[2025-08-26T02:57:04.530Z] [LOG] DEBUG PREÇO: OrdersTab - Rendering Arroz Branco. unit_price: 46.019091397849465, unit_type: cuba-g
[2025-08-26T02:57:04.901Z] [LOG] DEBUG PREÇO: OrdersTab - Rendering Filé de frango marinado na mostarda. unit_price: 8.944, unit_type: null
[2025-08-26T02:57:04.902Z] [LOG] DEBUG PREÇO: OrdersTab - Rendering Carne ao Molho de Vinho. unit_price: 8.944, unit_type: null
[2025-08-26T02:57:04.902Z] [LOG] DEBUG PREÇO: OrdersTab - Rendering Lasanha Presunto e Queijo. unit_price: 8.944, unit_type: null
[2025-08-26T02:57:04.905Z] [LOG] DEBUG PREÇO: OrdersTab - Rendering Chips de batata doce. unit_price: 8.944, unit_type: null
[2025-08-26T02:57:04.906Z] [LOG] DEBUG PREÇO: OrdersTab - Rendering S. Alface. unit_price: 20.360599999999998, unit_type: cuba-g
[2025-08-26T02:57:04.907Z] [LOG] DEBUG PREÇO: OrdersTab - Rendering S. Tomate. unit_price: 52.059124, unit_type: cuba-g
[2025-08-26T02:57:04.907Z] [LOG] DEBUG PREÇO: OrdersTab - Rendering S. Pepino. unit_price: 8.944, unit_type: null
[2025-08-26T02:57:04.908Z] [LOG] DEBUG PREÇO: OrdersTab - Rendering S. Beterraba Ralada. unit_price: 11.039600000000002, unit_type: cuba-g
[2025-08-26T02:57:05.108Z] [LOG] DEBUG PREÇO: OrdersTab - Rendering Arroz Branco. unit_price: 46.019091397849465, unit_type: cuba-g
[2025-08-26T02:57:05.109Z] [LOG] DEBUG PREÇO: OrdersTab - Rendering Arroz Integral. unit_price: 42.168351301115244, unit_type: cuba-g
[2025-08-26T02:57:05.110Z] [LOG] DEBUG PREÇO: OrdersTab - Rendering Feijão. unit_price: 60.44928220858896, unit_type: cuba-g
[2025-08-26T02:57:05.111Z] [LOG] DEBUG PREÇO: OrdersTab - Rendering Farofa de cuscuz. unit_price: 8.944, unit_type: null
[2025-08-26T02:57:05.112Z] [LOG] DEBUG PREÇO: OrdersTab - Rendering Brócolis e Couve flor assados. unit_price: 8.944, unit_type: null
[2025-08-26T02:57:05.113Z] [LOG] DEBUG PREÇO: OrdersTab - Rendering Filé de frango marinado na mostarda. unit_price: 8.944, unit_type: null
[2025-08-26T02:57:05.114Z] [LOG] DEBUG PREÇO: OrdersTab - Rendering Carne ao Molho de Vinho. unit_price: 8.944, unit_type: null
[2025-08-26T02:57:05.115Z] [LOG] DEBUG PREÇO: OrdersTab - Rendering Lasanha Presunto e Queijo. unit_price: 8.944, unit_type: null
[2025-08-26T02:57:05.115Z] [LOG] DEBUG PREÇO: OrdersTab - Rendering Chips de batata doce. unit_price: 8.944, unit_type: null
[2025-08-26T02:57:05.116Z] [LOG] DEBUG PREÇO: OrdersTab - Rendering S. Alface. unit_price: 20.360599999999998, unit_type: cuba-g
[2025-08-26T02:57:05.117Z] [LOG] DEBUG PREÇO: OrdersTab - Rendering S. Tomate. unit_price: 52.059124, unit_type: cuba-g
[2025-08-26T02:57:05.117Z] [LOG] DEBUG PREÇO: OrdersTab - Rendering S. Pepino. unit_price: 8.944, unit_type: null
[2025-08-26T02:57:05.118Z] [LOG] DEBUG PREÇO: OrdersTab - Rendering S. Beterraba Ralada. unit_price: 11.039600000000002, unit_type: cuba-g
[2025-08-26T02:57:05.134Z] [LOG] DEBUG PREÇO: OrdersTab - Rendering Arroz Branco. unit_price: 46.019091397849465, unit_type: cuba-g
[2025-08-26T02:57:05.135Z] [LOG] DEBUG PREÇO: OrdersTab - Rendering Arroz Integral. unit_price: 42.168351301115244, unit_type: cuba-g
[2025-08-26T02:57:05.135Z] [LOG] DEBUG PREÇO: OrdersTab - Rendering Feijão. unit_price: 60.44928220858896, unit_type: cuba-g
[2025-08-26T02:57:05.136Z] [LOG] DEBUG PREÇO: OrdersTab - Rendering Farofa de cuscuz. unit_price: 8.944, unit_type: null
[2025-08-26T02:57:05.136Z] [LOG] DEBUG PREÇO: OrdersTab - Rendering Brócolis e Couve flor assados. unit_price: 8.944, unit_type: null
[2025-08-26T02:57:05.139Z] [LOG] DEBUG PREÇO: OrdersTab - Rendering Filé de frango marinado na mostarda. unit_price: 8.944, unit_type: null
[2025-08-26T02:57:05.140Z] [LOG] DEBUG PREÇO: OrdersTab - Rendering Carne ao Molho de Vinho. unit_price: 8.944, unit_type: null
[2025-08-26T02:57:05.140Z] [LOG] DEBUG PREÇO: OrdersTab - Rendering Lasanha Presunto e Queijo. unit_price: 8.944, unit_type: null
[2025-08-26T02:57:05.140Z] [LOG] DEBUG PREÇO: OrdersTab - Rendering Chips de batata doce. unit_price: 8.944, unit_type: null
[2025-08-26T02:57:05.141Z] [LOG] DEBUG PREÇO: OrdersTab - Rendering S. Alface. unit_price: 20.360599999999998, unit_type: cuba-g
[2025-08-26T02:57:05.141Z] [LOG] DEBUG PREÇO: OrdersTab - Rendering S. Tomate. unit_price: 52.059124, unit_type: cuba-g
[2025-08-26T02:57:05.141Z] [LOG] DEBUG PREÇO: OrdersTab - Rendering S. Pepino. unit_price: 8.944, unit_type: null
[2025-08-26T02:57:05.142Z] [LOG] DEBUG PREÇO: OrdersTab - Rendering S. Beterraba Ralada. unit_price: 11.039600000000002, unit_type: cuba-g
[2025-08-26T02:57:21.028Z] [LOG] DEBUG PREÇO: OrdersTab - Rendering Arroz Branco. unit_price: 46.019091397849465, unit_type: cuba-g
[2025-08-26T02:57:21.029Z] [LOG] DEBUG PREÇO: OrdersTab - Rendering Arroz Integral. unit_price: 42.168351301115244, unit_type: cuba-g
[2025-08-26T02:57:21.029Z] [LOG] DEBUG PREÇO: OrdersTab - Rendering Feijão. unit_price: 60.44928220858896, unit_type: cuba-g
[2025-08-26T02:57:21.029Z] [LOG] DEBUG PREÇO: OrdersTab - Rendering Farofa de cuscuz. unit_price: 8.944, unit_type: null
[2025-08-26T02:57:21.030Z] [LOG] DEBUG PREÇO: OrdersTab - Rendering Brócolis e Couve flor assados. unit_price: 8.944, unit_type: null
[2025-08-26T02:57:21.030Z] [LOG] DEBUG PREÇO: OrdersTab - Rendering Filé de frango marinado na mostarda. unit_price: 8.944, unit_type: null
[2025-08-26T02:57:21.030Z] [LOG] DEBUG PREÇO: OrdersTab - Rendering Carne ao Molho de Vinho. unit_price: 8.944, unit_type: null
[2025-08-26T02:57:21.031Z] [LOG] DEBUG PREÇO: OrdersTab - Rendering Lasanha Presunto e Queijo. unit_price: 8.944, unit_type: null
[2025-08-26T02:57:21.031Z] [LOG] DEBUG PREÇO: OrdersTab - Rendering Chips de batata doce. unit_price: 8.944, unit_type: null
[2025-08-26T02:57:21.032Z] [LOG] DEBUG PREÇO: OrdersTab - Rendering S. Alface. unit_price: 20.360599999999998, unit_type: cuba-g
[2025-08-26T02:57:21.033Z] [LOG] DEBUG PREÇO: OrdersTab - Rendering S. Tomate. unit_price: 52.059124, unit_type: cuba-g
[2025-08-26T02:57:21.033Z] [LOG] DEBUG PREÇO: OrdersTab - Rendering S. Pepino. unit_price: 8.944, unit_type: null
[2025-08-26T02:57:21.034Z] [LOG] DEBUG PREÇO: OrdersTab - Rendering S. Beterraba Ralada. unit_price: 11.039600000000002, unit_type: cuba-g
[2025-08-26T02:57:21.073Z] [LOG] DEBUG PREÇO: OrdersTab - Rendering Arroz Branco. unit_price: 46.019091397849465, unit_type: cuba-g
[2025-08-26T02:57:21.074Z] [LOG] DEBUG PREÇO: OrdersTab - Rendering Arroz Integral. unit_price: 42.168351301115244, unit_type: cuba-g
[2025-08-26T02:57:21.074Z] [LOG] DEBUG PREÇO: OrdersTab - Rendering Feijão tropeiro. unit_price: 8.944, unit_type: null
[2025-08-26T02:57:21.074Z] [LOG] DEBUG PREÇO: OrdersTab - Rendering Feijão. unit_price: 60.44928220858896, unit_type: cuba-g
[2025-08-26T02:57:21.074Z] [LOG] DEBUG PREÇO: OrdersTab - Rendering Farofa de ovos. unit_price: 8.944, unit_type: null
[2025-08-26T02:57:21.075Z] [LOG] DEBUG PREÇO: OrdersTab - Rendering Quiabo tostado. unit_price: 8.944, unit_type: null
[2025-08-26T02:57:21.075Z] [LOG] DEBUG PREÇO: OrdersTab - Rendering Frango caipira. unit_price: 8.944, unit_type: null
[2025-08-26T02:57:21.075Z] [LOG] DEBUG PREÇO: OrdersTab - Rendering Costela bovina ao molho. unit_price: 8.944, unit_type: null
[2025-08-26T02:57:21.075Z] [LOG] DEBUG PREÇO: OrdersTab - Rendering Torresmo. unit_price: 8.944, unit_type: null
[2025-08-26T02:57:21.076Z] [LOG] DEBUG PREÇO: OrdersTab - Rendering Mandioca Cremosa. unit_price: 8.944, unit_type: null
[2025-08-26T02:57:21.076Z] [LOG] DEBUG PREÇO: OrdersTab - Rendering S. Alface. unit_price: 20.360599999999998, unit_type: cuba-g
[2025-08-26T02:57:21.076Z] [LOG] DEBUG PREÇO: OrdersTab - Rendering S. Tomate. unit_price: 52.059124, unit_type: cuba-g
[2025-08-26T02:57:21.076Z] [LOG] DEBUG PREÇO: OrdersTab - Rendering S. Cabotiá. unit_price: 8.944, unit_type: null
[2025-08-26T02:57:21.077Z] [LOG] DEBUG PREÇO: OrdersTab - Rendering S. Couve. unit_price: 8.944, unit_type: null
[2025-08-26T02:57:21.272Z] [LOG] DEBUG PREÇO: OrdersTab - Rendering Arroz Branco. unit_price: 46.019091397849465, unit_type: cuba-g
[2025-08-26T02:57:21.272Z] [LOG] DEBUG PREÇO: OrdersTab - Rendering Arroz Integral. unit_price: 42.168351301115244, unit_type: cuba-g
[2025-08-26T02:57:21.272Z] [LOG] DEBUG PREÇO: OrdersTab - Rendering Feijão tropeiro. unit_price: 8.944, unit_type: null
[2025-08-26T02:57:21.273Z] [LOG] DEBUG PREÇO: OrdersTab - Rendering Feijão. unit_price: 60.44928220858896, unit_type: cuba-g
[2025-08-26T02:57:21.273Z] [LOG] DEBUG PREÇO: OrdersTab - Rendering Farofa de ovos. unit_price: 8.944, unit_type: null
[2025-08-26T02:57:21.273Z] [LOG] DEBUG PREÇO: OrdersTab - Rendering Quiabo tostado. unit_price: 8.944, unit_type: null
[2025-08-26T02:57:21.274Z] [LOG] DEBUG PREÇO: OrdersTab - Rendering Frango caipira. unit_price: 8.944, unit_type: null
[2025-08-26T02:57:21.274Z] [LOG] DEBUG PREÇO: OrdersTab - Rendering Costela bovina ao molho. unit_price: 8.944, unit_type: null
[2025-08-26T02:57:21.274Z] [LOG] DEBUG PREÇO: OrdersTab - Rendering Torresmo. unit_price: 8.944, unit_type: null
[2025-08-26T02:57:21.274Z] [LOG] DEBUG PREÇO: OrdersTab - Rendering Mandioca Cremosa. unit_price: 8.944, unit_type: null
[2025-08-26T02:57:21.275Z] [LOG] DEBUG PREÇO: OrdersTab - Rendering S. Alface. unit_price: 20.360599999999998, unit_type: cuba-g
[2025-08-26T02:57:21.275Z] [LOG] DEBUG PREÇO: OrdersTab - Rendering S. Tomate. unit_price: 52.059124, unit_type: cuba-g
[2025-08-26T02:57:21.275Z] [LOG] DEBUG PREÇO: OrdersTab - Rendering S. Cabotiá. unit_price: 8.944, unit_type: null
[2025-08-26T02:57:21.275Z] [LOG] DEBUG PREÇO: OrdersTab - Rendering S. Couve. unit_price: 8.944, unit_type: null
[2025-08-26T02:57:21.288Z] [LOG] DEBUG PREÇO: OrdersTab - Rendering Arroz Branco. unit_price: 46.019091397849465, unit_type: cuba-g
[2025-08-26T02:57:21.288Z] [LOG] DEBUG PREÇO: OrdersTab - Rendering Arroz Integral. unit_price: 42.168351301115244, unit_type: cuba-g
[2025-08-26T02:57:21.288Z] [LOG] DEBUG PREÇO: OrdersTab - Rendering Feijão tropeiro. unit_price: 8.944, unit_type: null
[2025-08-26T02:57:21.289Z] [LOG] DEBUG PREÇO: OrdersTab - Rendering Feijão. unit_price: 60.44928220858896, unit_type: cuba-g
[2025-08-26T02:57:21.289Z] [LOG] DEBUG PREÇO: OrdersTab - Rendering Farofa de ovos. unit_price: 8.944, unit_type: null
[2025-08-26T02:57:21.289Z] [LOG] DEBUG PREÇO: OrdersTab - Rendering Quiabo tostado. unit_price: 8.944, unit_type: null
[2025-08-26T02:57:21.289Z] [LOG] DEBUG PREÇO: OrdersTab - Rendering Frango caipira. unit_price: 8.944, unit_type: null
[2025-08-26T02:57:21.290Z] [LOG] DEBUG PREÇO: OrdersTab - Rendering Costela bovina ao molho. unit_price: 8.944, unit_type: null
[2025-08-26T02:57:21.290Z] [LOG] DEBUG PREÇO: OrdersTab - Rendering Torresmo. unit_price: 8.944, unit_type: null
[2025-08-26T02:57:21.290Z] [LOG] DEBUG PREÇO: OrdersTab - Rendering Mandioca Cremosa. unit_price: 8.944, unit_type: null
[2025-08-26T02:57:21.290Z] [LOG] DEBUG PREÇO: OrdersTab - Rendering S. Alface. unit_price: 20.360599999999998, unit_type: cuba-g
[2025-08-26T02:57:21.291Z] [LOG] DEBUG PREÇO: OrdersTab - Rendering S. Tomate. unit_price: 52.059124, unit_type: cuba-g
[2025-08-26T02:57:21.291Z] [LOG] DEBUG PREÇO: OrdersTab - Rendering S. Cabotiá. unit_price: 8.944, unit_type: null
[2025-08-26T02:57:21.291Z] [LOG] DEBUG PREÇO: OrdersTab - Rendering S. Couve. unit_price: 8.944, unit_type: null
[2025-08-26T02:57:21.309Z] [LOG] DEBUG PREÇO: OrdersTab - Rendering Arroz Branco. unit_price: 46.019091397849465, unit_type: cuba-g
[2025-08-26T02:57:21.309Z] [LOG] DEBUG PREÇO: OrdersTab - Rendering Arroz Integral. unit_price: 42.168351301115244, unit_type: cuba-g
[2025-08-26T02:57:21.310Z] [LOG] DEBUG PREÇO: OrdersTab - Rendering Feijão tropeiro. unit_price: 8.944, unit_type: null
[2025-08-26T02:57:21.310Z] [LOG] DEBUG PREÇO: OrdersTab - Rendering Feijão. unit_price: 60.44928220858896, unit_type: cuba-g
[2025-08-26T02:57:21.310Z] [LOG] DEBUG PREÇO: OrdersTab - Rendering Farofa de ovos. unit_price: 8.944, unit_type: null
[2025-08-26T02:57:21.310Z] [LOG] DEBUG PREÇO: OrdersTab - Rendering Quiabo tostado. unit_price: 8.944, unit_type: null
[2025-08-26T02:57:21.311Z] [LOG] DEBUG PREÇO: OrdersTab - Rendering Frango caipira. unit_price: 8.944, unit_type: null
[2025-08-26T02:57:21.311Z] [LOG] DEBUG PREÇO: OrdersTab - Rendering Costela bovina ao molho. unit_price: 8.944, unit_type: null
[2025-08-26T02:57:21.312Z] [LOG] DEBUG PREÇO: OrdersTab - Rendering Torresmo. unit_price: 8.944, unit_type: null
[2025-08-26T02:57:21.312Z] [LOG] DEBUG PREÇO: OrdersTab - Rendering Mandioca Cremosa. unit_price: 8.944, unit_type: null
[2025-08-26T02:57:21.312Z] [LOG] DEBUG PREÇO: OrdersTab - Rendering S. Alface. unit_price: 20.360599999999998, unit_type: cuba-g
[2025-08-26T02:57:21.312Z] [LOG] DEBUG PREÇO: OrdersTab - Rendering S. Tomate. unit_price: 52.059124, unit_type: cuba-g
[2025-08-26T02:57:21.313Z] [LOG] DEBUG PREÇO: OrdersTab - Rendering S. Cabotiá. unit_price: 8.944, unit_type: null
[2025-08-26T02:57:21.313Z] [LOG] DEBUG PREÇO: OrdersTab - Rendering S. Couve. unit_price: 8.944, unit_type: null
[2025-08-26T02:57:21.568Z] [LOG] DEBUG PREÇO: OrdersTab - Rendering Arroz Branco. unit_price: 46.019091397849465, unit_type: cuba-g
[2025-08-26T02:57:21.568Z] [LOG] DEBUG PREÇO: OrdersTab - Rendering Arroz Integral. unit_price: 42.168351301115244, unit_type: cuba-g
[2025-08-26T02:57:21.569Z] [LOG] DEBUG PREÇO: OrdersTab - Rendering Feijão tropeiro. unit_price: 8.944, unit_type: null
[2025-08-26T02:57:21.569Z] [LOG] DEBUG PREÇO: OrdersTab - Rendering Feijão. unit_price: 60.44928220858896, unit_type: cuba-g
[2025-08-26T02:57:21.570Z] [LOG] DEBUG PREÇO: OrdersTab - Rendering Farofa de ovos. unit_price: 8.944, unit_type: null
[2025-08-26T02:57:21.570Z] [LOG] DEBUG PREÇO: OrdersTab - Rendering Quiabo tostado. unit_price: 8.944, unit_type: null
[2025-08-26T02:57:21.570Z] [LOG] DEBUG PREÇO: OrdersTab - Rendering Frango caipira. unit_price: 8.944, unit_type: null
[2025-08-26T02:57:21.570Z] [LOG] DEBUG PREÇO: OrdersTab - Rendering Costela bovina ao molho. unit_price: 8.944, unit_type: null
[2025-08-26T02:57:21.571Z] [LOG] DEBUG PREÇO: OrdersTab - Rendering Torresmo. unit_price: 8.944, unit_type: null
[2025-08-26T02:57:21.571Z] [LOG] DEBUG PREÇO: OrdersTab - Rendering Mandioca Cremosa. unit_price: 8.944, unit_type: null
[2025-08-26T02:57:21.571Z] [LOG] DEBUG PREÇO: OrdersTab - Rendering S. Alface. unit_price: 20.360599999999998, unit_type: cuba-g
[2025-08-26T02:57:21.571Z] [LOG] DEBUG PREÇO: OrdersTab - Rendering S. Tomate. unit_price: 52.059124, unit_type: cuba-g
[2025-08-26T02:57:21.572Z] [LOG] DEBUG PREÇO: OrdersTab - Rendering S. Cabotiá. unit_price: 8.944, unit_type: null
[2025-08-26T02:57:21.572Z] [LOG] DEBUG PREÇO: OrdersTab - Rendering S. Couve. unit_price: 8.944, unit_type: null
[2025-08-26T02:57:21.580Z] [LOG] DEBUG PREÇO: OrdersTab - Rendering Arroz Branco. unit_price: 46.019091397849465, unit_type: cuba-g
[2025-08-26T02:57:21.580Z] [LOG] DEBUG PREÇO: OrdersTab - Rendering Arroz Integral. unit_price: 42.168351301115244, unit_type: cuba-g
[2025-08-26T02:57:21.580Z] [LOG] DEBUG PREÇO: OrdersTab - Rendering Feijão tropeiro. unit_price: 8.944, unit_type: null
[2025-08-26T02:57:21.580Z] [LOG] DEBUG PREÇO: OrdersTab - Rendering Feijão. unit_price: 60.44928220858896, unit_type: cuba-g
[2025-08-26T02:57:21.581Z] [LOG] DEBUG PREÇO: OrdersTab - Rendering Farofa de ovos. unit_price: 8.944, unit_type: null
[2025-08-26T02:57:21.581Z] [LOG] DEBUG PREÇO: OrdersTab - Rendering Quiabo tostado. unit_price: 8.944, unit_type: null
[2025-08-26T02:57:21.581Z] [LOG] DEBUG PREÇO: OrdersTab - Rendering Frango caipira. unit_price: 8.944, unit_type: null
[2025-08-26T02:57:21.581Z] [LOG] DEBUG PREÇO: OrdersTab - Rendering Costela bovina ao molho. unit_price: 8.944, unit_type: null
[2025-08-26T02:57:21.583Z] [LOG] DEBUG PREÇO: OrdersTab - Rendering Torresmo. unit_price: 8.944, unit_type: null
[2025-08-26T02:57:21.584Z] [LOG] DEBUG PREÇO: OrdersTab - Rendering Mandioca Cremosa. unit_price: 8.944, unit_type: null
[2025-08-26T02:57:21.585Z] [LOG] DEBUG PREÇO: OrdersTab - Rendering S. Alface. unit_price: 20.360599999999998, unit_type: cuba-g
[2025-08-26T02:57:21.585Z] [LOG] DEBUG PREÇO: OrdersTab - Rendering S. Tomate. unit_price: 52.059124, unit_type: cuba-g
[2025-08-26T02:57:21.586Z] [LOG] DEBUG PREÇO: OrdersTab - Rendering S. Cabotiá. unit_price: 8.944, unit_type: null
[2025-08-26T02:57:21.586Z] [LOG] DEBUG PREÇO: OrdersTab - Rendering S. Couve. unit_price: 8.944, unit_type: null
[2025-08-26T02:57:25.740Z] [LOG] DEBUG PREÇO: OrdersTab - Rendering Arroz Branco. unit_price: 46.019091397849465, unit_type: cuba-g
[2025-08-26T02:57:25.741Z] [LOG] DEBUG PREÇO: OrdersTab - Rendering Arroz Integral. unit_price: 42.168351301115244, unit_type: cuba-g
[2025-08-26T02:57:25.741Z] [LOG] DEBUG PREÇO: OrdersTab - Rendering Feijão tropeiro. unit_price: 8.944, unit_type: null
[2025-08-26T02:57:25.741Z] [LOG] DEBUG PREÇO: OrdersTab - Rendering Feijão. unit_price: 60.44928220858896, unit_type: cuba-g
[2025-08-26T02:57:25.742Z] [LOG] DEBUG PREÇO: OrdersTab - Rendering Farofa de ovos. unit_price: 8.944, unit_type: null
[2025-08-26T02:57:25.742Z] [LOG] DEBUG PREÇO: OrdersTab - Rendering Quiabo tostado. unit_price: 8.944, unit_type: null
[2025-08-26T02:57:25.742Z] [LOG] DEBUG PREÇO: OrdersTab - Rendering Frango caipira. unit_price: 8.944, unit_type: null
[2025-08-26T02:57:25.742Z] [LOG] DEBUG PREÇO: OrdersTab - Rendering Costela bovina ao molho. unit_price: 8.944, unit_type: null
[2025-08-26T02:57:25.743Z] [LOG] DEBUG PREÇO: OrdersTab - Rendering Torresmo. unit_price: 8.944, unit_type: null
[2025-08-26T02:57:25.743Z] [LOG] DEBUG PREÇO: OrdersTab - Rendering Mandioca Cremosa. unit_price: 8.944, unit_type: null
[2025-08-26T02:57:25.743Z] [LOG] DEBUG PREÇO: OrdersTab - Rendering S. Alface. unit_price: 20.360599999999998, unit_type: cuba-g
[2025-08-26T02:57:25.744Z] [LOG] DEBUG PREÇO: OrdersTab - Rendering S. Tomate. unit_price: 52.059124, unit_type: cuba-g
